iter	RMSE
0	8.579313138
1	8.52956774
2	8.482826693
3	8.432367831
4	8.38096769
5	8.33079854
6	8.283120897
7	8.240619319
8	8.19024004
9	8.148472875
10	8.102285208
11	8.05589065
12	8.012759218
13	7.971571352
14	7.925016273
15	7.881210972
16	7.841012487
17	7.799570603
18	7.755280497
19	7.712145686
20	7.67093539
21	7.639097858
22	7.594078303
23	7.553507111
24	7.52203688
25	7.489131084
26	7.44840419
27	7.416425903
28	7.386128489
29	7.346169019
30	7.307640301
31	7.270103483
32	7.233172169
33	7.195477342
34	7.156585594
35	7.119037718
36	7.086908604
37	7.050066526
38	7.015956542
39	6.978291238
40	6.94791174
41	6.915117017
42	6.877035163
43	6.842557679
44	6.806429624
45	6.776543184
46	6.740051297
47	6.70860429
48	6.679073709
49	6.653402827
50	6.624925812
51	6.594855581
52	6.564547505
53	6.531823461
54	6.509498703
55	6.475334414
56	6.441465707
57	6.414489467
58	6.384641772
59	6.358160205
60	6.330493774
61	6.300548411
62	6.270811656
63	6.243053072
64	6.211972924
65	6.184305771
66	6.16063788
67	6.130826848
68	6.102052398
69	6.077698414
70	6.051585608
71	6.029531068
72	6.00147491
73	5.973184324
74	5.94859403
75	5.91959693
76	5.89089442
77	5.867064379
78	5.842620605
79	5.814413427
80	5.789462485
81	5.763939334
82	5.7385818
83	5.716619844
84	5.6945927
85	5.67481687
86	5.651885566
87	5.624353717
88	5.598603676
89	5.577743134
90	5.552428599
91	5.529753729
92	5.503595645
93	5.481534448
94	5.459748965
95	5.433689641
96	5.413325123
97	5.396509062
98	5.373579001
99	5.35131411
100	5.328701422
101	5.305823793
102	5.286426722
103	5.26450596
104	5.24341816
105	5.221705247
106	5.199436107
107	5.178598407
108	5.164462614
109	5.139765025
110	5.119220662
111	5.098865375
112	5.078810385
113	5.059508723
114	5.036991017
115	5.016640006
116	4.995455775
117	4.976014369
118	4.957643032
119	4.938422432
120	4.919440985
121	4.900963365
122	4.886865821
123	4.867733498
124	4.849552134
125	4.830912164
126	4.817061532
127	4.800903408
