iter	Passed	Remaining
0	1	14402
1	2	14100
2	4	13836
3	4	12059
4	5	11782
5	7	12322
6	8	11634
7	9	11845
8	10	11977
9	12	12114
10	12	11310
11	13	11606
12	15	11723
13	18	13479
14	20	13452
15	21	13378
16	22	13327
17	23	13243
18	25	13136
19	25	12906
20	26	12827
21	27	12473
22	28	12513
23	30	12542
24	31	12495
25	32	12490
26	33	12511
27	34	12134
28	35	12141
29	36	12117
30	37	12006
31	38	12046
32	39	11898
33	40	11906
34	41	11888
35	43	11956
36	43	11745
37	44	11782
38	46	11818
39	47	11908
40	49	11960
41	50	12031
42	51	12020
43	52	11947
44	53	11884
45	54	11828
46	56	11925
47	57	11884
48	58	11892
49	58	11700
50	60	11841
51	62	11938
52	63	12003
53	65	12003
54	65	11821
55	66	11849
56	67	11834
57	69	11835
58	70	11854
59	71	11926
60	73	11962
61	74	11937
62	75	11959
63	77	11955
64	78	11939
65	79	11941
66	80	11955
67	81	11970
68	83	12039
69	84	12055
70	86	12093
71	87	12080
72	88	12074
73	90	12081
74	91	12066
75	91	11998
76	92	11950
77	93	11832
78	94	11839
79	95	11834
80	95	11751
81	97	11751
82	98	11776
83	99	11783
84	101	11803
85	102	11827
86	103	11823
87	105	11868
88	106	11882
89	107	11826
90	108	11841
91	109	11840
92	111	11861
93	112	11852
94	113	11863
95	114	11853
96	116	11852
97	117	11843
98	118	11836
99	118	11762
100	120	11768
101	121	11778
102	122	11786
103	123	11734
104	124	11748
105	126	11776
106	127	11815
107	128	11774
108	128	11684
109	129	11685
110	131	11693
111	132	11697
112	133	11662
113	134	11666
114	135	11675
115	136	11598
116	137	11603
117	138	11633
118	140	11638
119	140	11597
120	141	11517
121	142	11537
122	142	11466
123	144	11470
124	145	11464
125	146	11464
126	147	11463
127	148	11475
128	150	11488
129	151	11504
130	152	11515
131	154	11527
132	155	11527
133	156	11530
134	157	11476
135	158	11530
136	160	11529
137	161	11528
138	162	11520
139	163	11532
140	164	11523
141	166	11539
142	167	11529
143	168	11529
144	169	11528
145	170	11524
146	172	11531
147	173	11532
148	174	11542
149	175	11556
150	177	11572
151	178	11573
152	179	11551
153	180	11553
154	181	11553
155	182	11514
156	183	11506
157	185	11527
158	185	11493
159	186	11447
160	187	11455
161	188	11461
162	189	11465
163	191	11470
164	192	11465
165	192	11412
166	193	11370
167	194	11380
168	195	11384
169	196	11383
170	198	11419
171	199	11426
172	201	11427
173	202	11421
174	203	11426
175	205	11447
176	206	11445
177	207	11457
178	208	11415
179	209	11421
180	210	11432
181	212	11439
182	213	11440
183	214	11442
184	215	11456
185	217	11478
186	217	11438
187	219	11437
188	219	11400
189	220	11402
190	222	11406
191	222	11375
192	223	11373
193	225	11373
194	226	11371
195	227	11379
196	228	11355
197	228	11312
198	229	11315
199	229	11268
200	231	11282
201	233	11303
202	234	11303
203	235	11316
204	236	11293
205	236	11260
206	238	11267
207	239	11280
208	240	11278
209	241	11276
210	242	11245
211	243	11242
212	244	11239
213	246	11253
214	247	11258
215	248	11260
216	249	11262
217	251	11278
218	252	11258
219	253	11264
220	254	11262
221	255	11270
222	257	11270
223	258	11275
224	259	11276
225	260	11286
226	262	11293
227	263	11294
228	263	11261
229	265	11272
230	266	11271
231	267	11280
232	269	11281
233	270	11283
234	271	11287
235	271	11247
236	273	11255
237	274	11257
238	275	11258
239	275	11221
240	277	11228
241	278	11225
242	279	11227
243	280	11199
244	281	11202
245	282	11201
246	283	11205
247	284	11205
248	286	11208
249	286	11186
250	288	11189
251	288	11174
252	290	11197
253	291	11199
254	293	11200
255	294	11210
256	296	11223
257	297	11231
258	298	11231
259	299	11230
260	301	11232
261	302	11236
262	303	11240
263	304	11241
264	306	11252
265	307	11261
266	309	11269
267	310	11268
268	310	11236
269	311	11235
270	312	11235
271	314	11236
272	315	11238
273	316	11235
274	317	11233
275	318	11228
276	319	11227
277	320	11224
278	322	11225
279	322	11194
280	323	11182
281	324	11188
282	326	11197
283	327	11191
284	328	11189
285	329	11189
286	330	11197
287	331	11172
288	332	11173
289	333	11178
290	335	11179
291	336	11184
292	337	11183
293	338	11190
294	339	11181
295	341	11185
296	342	11173
297	343	11173
298	344	11172
299	345	11184
300	347	11188
301	348	11193
302	349	11199
303	352	11227
304	353	11239
305	353	11209
306	355	11222
307	356	11219
308	357	11215
309	358	11215
310	360	11218
311	361	11234
312	363	11238
313	364	11243
314	365	11233
315	366	11237
316	367	11235
317	368	11220
318	369	11219
319	370	11219
320	372	11226
321	373	11225
322	374	11226
323	375	11204
324	375	11182
325	376	11183
326	377	11168
327	378	11170
328	380	11172
329	381	11172
330	382	11186
331	384	11189
332	385	11189
333	386	11191
334	387	11169
335	388	11173
336	389	11173
337	390	11169
338	391	11144
339	392	11150
340	394	11161
341	395	11165
342	398	11217
343	398	11199
344	400	11201
345	401	11202
346	402	11202
347	404	11208
348	405	11210
349	406	11214
350	407	11193
351	408	11205
352	410	11210
353	411	11215
354	411	11188
355	412	11187
356	414	11189
357	415	11190
358	416	11193
359	418	11206
360	419	11205
361	421	11209
362	421	11195
363	423	11201
364	424	11202
365	426	11213
366	426	11199
367	427	11198
368	428	11195
369	430	11194
370	431	11194
371	432	11197
372	433	11195
373	436	11222
374	437	11229
375	439	11237
376	440	11235
377	441	11247
378	443	11246
379	444	11246
380	445	11245
381	446	11254
382	448	11256
383	449	11260
384	451	11263
385	452	11262
386	453	11261
387	454	11262
388	455	11260
389	457	11262
390	458	11262
391	459	11261
392	460	11265
393	462	11264
394	463	11267
395	464	11269
396	465	11267
397	466	11266
398	468	11268
399	469	11270
400	470	11268
401	472	11270
402	472	11262
403	474	11269
404	475	11273
405	477	11276
406	478	11279
407	478	11258
408	480	11264
409	481	11265
410	483	11271
411	484	11273
412	485	11276
413	486	11275
414	488	11276
415	489	11283
416	490	11281
417	492	11278
418	493	11283
419	495	11301
